server_timestamp,participant_id,assigned_block_order,block_index,block_name,upload_batch_number,trial_in_block,global_trial,timestamp_iso,chosen_shape,chosen_position,circle_position,square_position,axis,anchor_state,circle_color,square_color,high_reward_shape,reward_probability_chosen,outcome_rewarded,reaction_time_ms,reward_reversal_on_this_trial,visual_remap_on_this_trial,visual_state_label,block_total_rewards,block_mean_rt,block_optimal_rate
2026-04-17T01:23:14.211Z,Daniel,Stable-Attention-Volatile,1,Stable,1,1,1,2026-04-17T01:20:20.699Z,Square,,left,right,horizontal,anchor-center,var(--circle-blue),var(--square-orange),Square,0.7,1,9867,0,0,standard,42,1051,0.55
2026-04-17T01:23:14.211Z,Daniel,Stable-Attention-Volatile,1,Stable,1,2,2,2026-04-17T01:20:26.199Z,Circle,,left,right,horizontal,anchor-center,var(--circle-blue),var(--square-orange),Square,0.3,0,4234,0,0,standard,42,1051,0.55
2026-04-17T01:23:14.211Z,Daniel,Stable-Attention-Volatile,1,Stable,1,3,3,2026-04-17T01:20:29.249Z,Circle,,left,right,horizontal,anchor-center,var(--circle-blue),var(--square-orange),Square,0.3,0,1779,0,0,standard,42,1051,0.55
2026-04-17T01:23:14.211Z,Daniel,Stable-Attention-Volatile,1,Stable,1,4,4,2026-04-17T01:20:31.202Z,Square,,left,right,horizontal,anchor-center,var(--circle-blue),var(--square-orange),Square,0.7,1,697,0,0,standard,42,1051,0.55
2026-04-17T01:23:14.211Z,Daniel,Stable-Attention-Volatile,1,Stable,1,5,5,2026-04-17T01:20:33.103Z,Square,,left,right,horizontal,anchor-center,var(--circle-blue),var(--square-orange),Square,0.7,1,634,0,0,standard,42,1051,0.55
2026-04-17T01:23:14.211Z,Daniel,Stable-Attention-Volatile,1,Stable,1,6,6,2026-04-17T01:20:35.068Z,Square,,left,right,horizontal,anchor-center,var(--circle-blue),var(--square-orange),Square,0.7,1,690,0,0,standard,42,1051,0.55
2026-04-17T01:23:14.211Z,Daniel,Stable-Attention-Volatile,1,Stable,1,7,7,2026-04-17T01:20:37.007Z,Square,,left,right,horizontal,anchor-center,var(--circle-blue),var(--square-orange),Square,0.7,1,672,0,0,standard,42,1051,0.55
2026-04-17T01:23:14.211Z,Daniel,Stable-Attention-Volatile,1,Stable,1,8,8,2026-04-17T01:20:38.849Z,Square,,left,right,horizontal,anchor-center,var(--circle-blue),var(--square-orange),Square,0.7,0,572,0,0,standard,42,1051,0.55
2026-04-17T01:23:14.211Z,Daniel,Stable-Attention-Volatile,1,Stable,1,9,9,2026-04-17T01:20:41.134Z,Circle,,left,right,horizontal,anchor-center,var(--circle-blue),var(--square-orange),Square,0.3,0,1017,0,0,standard,42,1051,0.55
2026-04-17T01:23:14.211Z,Daniel,Stable-Attention-Volatile,1,Stable,1,10,10,2026-04-17T01:20:43.357Z,Square,,left,right,horizontal,anchor-center,var(--circle-blue),var(--square-orange),Square,0.7,1,959,0,0,standard,42,1051,0.55
2026-04-17T01:23:14.211Z,Daniel,Stable-Attention-Volatile,1,Stable,1,11,11,2026-04-17T01:20:45.634Z,Square,,left,right,horizontal,anchor-center,var(--circle-blue),var(--square-orange),Square,0.7,1,1018,0,0,standard,42,1051,0.55
2026-04-17T01:23:14.211Z,Daniel,Stable-Attention-Volatile,1,Stable,1,12,12,2026-04-17T01:20:47.349Z,Square,,left,right,horizontal,anchor-center,var(--circle-blue),var(--square-orange),Square,0.7,1,437,0,0,standard,42,1051,0.55
2026-04-17T01:23:14.211Z,Daniel,Stable-Attention-Volatile,1,Stable,1,13,13,2026-04-17T01:20:49.029Z,Square,,left,right,horizontal,anchor-center,var(--circle-blue),var(--square-orange),Square,0.7,0,408,0,0,standard,42,1051,0.55
2026-04-17T01:23:14.211Z,Daniel,Stable-Attention-Volatile,1,Stable,1,14,14,2026-04-17T01:20:51.322Z,Square,,left,right,horizontal,anchor-center,var(--circle-blue),var(--square-orange),Square,0.7,1,1024,0,0,standard,42,1051,0.55
2026-04-17T01:23:14.211Z,Daniel,Stable-Attention-Volatile,1,Stable,1,15,15,2026-04-17T01:20:52.925Z,Square,,left,right,horizontal,anchor-center,var(--circle-blue),var(--square-orange),Square,0.7,1,329,0,0,standard,42,1051,0.55
2026-04-17T01:23:14.211Z,Daniel,Stable-Attention-Volatile,1,Stable,1,16,16,2026-04-17T01:20:54.546Z,Square,,left,right,horizontal,anchor-center,var(--circle-blue),var(--square-orange),Square,0.7,0,347,0,0,standard,42,1051,0.55
2026-04-17T01:23:14.211Z,Daniel,Stable-Attention-Volatile,1,Stable,1,17,17,2026-04-17T01:20:56.156Z,Square,,left,right,horizontal,anchor-center,var(--circle-blue),var(--square-orange),Circle,0.3,0,347,1,0,standard,42,1051,0.55
2026-04-17T01:23:14.211Z,Daniel,Stable-Attention-Volatile,1,Stable,1,18,18,2026-04-17T01:20:57.828Z,Square,,left,right,horizontal,anchor-center,var(--circle-blue),var(--square-orange),Circle,0.3,1,406,0,0,standard,42,1051,0.55
2026-04-17T01:23:14.211Z,Daniel,Stable-Attention-Volatile,1,Stable,1,19,19,2026-04-17T01:20:59.421Z,Square,,left,right,horizontal,anchor-center,var(--circle-blue),var(--square-orange),Circle,0.3,0,328,0,0,standard,42,1051,0.55
2026-04-17T01:23:14.211Z,Daniel,Stable-Attention-Volatile,1,Stable,1,20,20,2026-04-17T01:21:01.342Z,Square,,left,right,horizontal,anchor-center,var(--circle-blue),var(--square-orange),Circle,0.3,0,654,0,0,standard,42,1051,0.55
2026-04-17T01:23:14.211Z,Daniel,Stable-Attention-Volatile,1,Stable,1,21,21,2026-04-17T01:21:02.785Z,Square,,left,right,horizontal,anchor-center,var(--circle-blue),var(--square-orange),Circle,0.3,0,166,0,0,standard,42,1051,0.55
2026-04-17T01:23:14.211Z,Daniel,Stable-Attention-Volatile,1,Stable,1,22,22,2026-04-17T01:21:04.267Z,Circle,,left,right,horizontal,anchor-center,var(--circle-blue),var(--square-orange),Circle,0.7,1,210,0,0,standard,42,1051,0.55
2026-04-17T01:23:14.211Z,Daniel,Stable-Attention-Volatile,1,Stable,1,23,23,2026-04-17T01:21:05.948Z,Circle,,left,right,horizontal,anchor-center,var(--circle-blue),var(--square-orange),Circle,0.7,1,399,0,0,standard,42,1051,0.55
2026-04-17T01:23:14.211Z,Daniel,Stable-Attention-Volatile,1,Stable,1,24,24,2026-04-17T01:21:07.561Z,Circle,,left,right,horizontal,anchor-center,var(--circle-blue),var(--square-orange),Circle,0.7,1,338,0,0,standard,42,1051,0.55
2026-04-17T01:23:14.211Z,Daniel,Stable-Attention-Volatile,1,Stable,1,25,25,2026-04-17T01:21:09.239Z,Circle,,left,right,horizontal,anchor-center,var(--circle-blue),var(--square-orange),Circle,0.7,1,422,0,0,standard,42,1051,0.55
2026-04-17T01:23:14.211Z,Daniel,Stable-Attention-Volatile,1,Stable,1,26,26,2026-04-17T01:21:10.890Z,Square,,left,right,horizontal,anchor-center,var(--circle-blue),var(--square-orange),Circle,0.3,0,384,0,0,standard,42,1051,0.55
2026-04-17T01:23:14.211Z,Daniel,Stable-Attention-Volatile,1,Stable,1,27,27,2026-04-17T01:21:12.220Z,Circle,,left,right,horizontal,anchor-center,var(--circle-blue),var(--square-orange),Circle,0.7,0,71,0,0,standard,42,1051,0.55
2026-04-17T01:23:14.211Z,Daniel,Stable-Attention-Volatile,1,Stable,1,28,28,2026-04-17T01:21:13.664Z,Square,,left,right,horizontal,anchor-center,var(--circle-blue),var(--square-orange),Circle,0.3,0,179,0,0,standard,42,1051,0.55
